"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_CARBOHYDRATE_HOMEOSTASIS",0.0554589371980676,0.162187070811844,0.323825664005778,1.28861173460721,286,137,"Ald1;brm;Pka-C1;EcR;fkh;Raf;pnr;tra2;Ptp10D;Rop;Hnf4;sv;Rac1;lark;Rac2;Mlp84B;phr6-4;Pdk;Ork1;toy;Osbp;Xbp1;AMPKalpha;Ac78C;Sirt1;moody;Smox;Tip60;Rip11;sut2;sut1"
"GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION",0.0556920556920557,0.162707078297942,-0.357275863993237,-1.33438684827185,271,87,"Abl;aurA;Chc;FER;Hsc70-2;RpS3;Rcc1;sgg;betaTub97EF;mts;Klp67A;Arl2;128up;dia;Lis-1;CLIP-190;chb;Eb1;Cdk5alpha;nmdyn-D7;pigs;Tat;CG9784;Tao"
"GOBP_EYE_PHOTORECEPTOR_CELL_DEVELOPMENT",0.0558526440879382,0.163014363994756,0.584398918409062,1.48041095813654,281,15,"Hr3;tj;Galphai;sn;ple;toy;CG5921"
"GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",0.0560856864654333,0.163532298891283,0.329668554665299,1.29499383297135,287,125,"abo;bsk;cta;Dab;fzy;Hsp68;Hsp83;dco;l(3)mbt;Raf;polo;Cdk1;Su(fu);faf;Pabp2;RpL23;Hsp70Aa;Hsp70Bb;CkIalpha;Dad;emb;eIF3h;Sirt1;mtm;Rad23"
"GOBP_REGULATION_OF_INSULIN_SECRETION",0.0565853658536585,0.164825887466795,0.340283494449693,1.30700763401465,289,108,"Ald1;Pka-C1;EcR;fkh;Gdh;Galphai;Galphao;Pkc53E;Sh;tup;Hnf4;Rac1;Syx1A;Rac2;Ork1;Rfx;Osbp;cyc;Ac78C;gbb;Actbeta;moody;Pfrx;sut2;sut1"
"GOBP_RESPONSE_TO_AMPHETAMINE",0.0566875126084325,0.164960100983193,-0.521988648353756,-1.46010237730498,280,21,"Cam;Galphas;Galphaf;Tbh;Spn;Hr38;Eaat1"
"GOBP_RESPONSE_TO_TYPE_II_INTERFERON",0.0568535825545171,0.165279881299792,0.38564517457724,1.35495355638253,291,64,"Act5C;EcR;Khc;CG5504;Raf;Syb;Rop;GluProRS;Wnt5;Gel;Prosbeta1;Cdc37;Arp2;Prosalpha5;arg;WASp;Ass;Atf3"
"GOBP_CELLULAR_RESPONSE_TO_STARVATION",0.0569311756677715,0.165342071880142,0.341492156923943,1.30618740726921,291,105,"bsk;fkh;Hsc70-3;Mybbp1A;lt;nau;rl;Wnt5;Wnt4;Ask1;Pi3K68D;Pdk;Gcn2;Xbp1;Pp2C1;AMPKalpha;Sirt1;Actbeta;Tip60;Atf3;Atg5;Lsd-2;CG3632"
"GOBP_MONOSACCHARIDE_METABOLIC_PROCESS",0.0571311138512125,0.165595799951002,-0.313580909299197,-1.27418642376616,277,156,"adp;arr;Eno;Gal;Gapdh1;Gpdh1;Hex-C;Atpalpha;Pepck1;per;Pfk;Pgi;Pp1-87B;Pgd;Pglym87;alpha-Man-IIa;PhKgamma;Gcn5;Lip3;chico;Sik2;CG13369;Dyrk3;beta4GalNAcTA;PCB;Dic1;LManII;O-fut2;onecut;CG7766;FucT6;Usp7;CG10996;CG7322;CG3544;G6P;CG9109;CG9550"
"GOBP_TYPE_I_INTERFERON_PRODUCTION",0.0571016285302,0.165595799951002,-0.398547858495531,-1.37276883779232,276,55,"csw;dx;Gapdh1;mle;sgg;Su(dx);pll;Dif;Rab2;Shark;IKKbeta;Roc1a;Tollo;Set2;CG5445;cactin;CG1812;CG3165;CCHa2-R;Myd88;Sting;Atg9;nopo"
"GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS",0.0572390572390572,0.165745380312309,0.582098899248738,1.47458450387455,288,15,"Hr3;dpp;arg;mino;CG15890;Zir"
"GOBP_OSTEOBLAST_PROLIFERATION",0.0576806314511233,0.166859801110329,-0.55800810934093,-1.48022879290654,284,17,"Abl;arr;grn;if;mys;htl;Tsf1"
"GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS",0.0578609000584454,0.16688898820779,0.33477844567653,1.297378062288,296,115,"b;EcR;MsrA;Gdh;Got1;r;slgA;Hnf4;Sam-S;Hdc;ple;Nmdmc;l(2)03659;Odc1;Odc2;Faa;pug;scu;aay;arg;CG17896;CG17636;Ass;Shmt;CG1440;CG1628;ATP7;CG1764;CG1640;Nadsyn;Ggt-1;Cbs"
"GOBP_INNER_EAR_MORPHOGENESIS",0.0578191695770276,0.16688898820779,0.389630993079739,1.35946800261695,297,61,"Dll;bi;eya;tj;osp;so;Sod1;slp2;pros;sv;Wnt5;Rac1;CG10939;Aldh;Rac2;sty;tap;unpg"
"GOBP_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION",0.0578478964401294,0.16688898820779,-0.53054370665041,-1.46430610451676,285,20,"aurA;dia;chb;pigs;Tao;Klp31E;cyst;CG2812;CG2765;CG16719"
